fec;pet;eur;oro;dol;c18;c36;ibe
91018;85.00;3516.50;1227.80;3031.31;46.999;51.021;9260.50
101018;83.09;3564.50;1229.40;3057.55;46.996;51.032;9162.90
111018;80.26;3583.00;1264.00;3090.30;46.994;51.034;9007.90
121018;80.43;3581.00;1258.10;3087.34;46.992;51.029;8902.00
131018;80.63;3581.00;1253.47;3088.78;46.992;51.021;8832.61
141018;80.47;3577.90;1259.63;3088.78;46.994;51.010;8825.51
151018;80.78;3583.50;1266.90;3088.78;47.000;51.000;8923.70
161018;81.41;3532.50;1267.30;3088.78;47.010;50.992;9074.70
171018;80.05;3527.50;1263.40;3055.93;47.021;50.986;8997.20
181018;79.29;3541.50;1266.60;3056.37;47.030;50.983;8889.60
191018;79.78;3545.00;1265.30;3088.47;47.036;50.983;8892.10
201018;80.92;3545.00;1259.42;3079.88;47.035;50.986;8893.50
211018;81.43;3544.10;1255.68;3079.88;47.024;50.991;8863.23
221018;79.83;3538.50;1261.30;3079.88;47.000;51.000;8806.50
231018;76.44;3580.00;1273.50;3087.58;46.963;51.011;8726.10
241018;76.17;3606.50;1267.60;3110.20;46.921;51.023;8677.40
251018;76.89;3607.00;1269.00;3149.70;46.885;51.032;8785.20
261018;77.62;3628.00;1272.30;3167.18;46.864;51.038;8730.40
271018;78.19;3628.00;1270.20;3185.26;46.870;51.036;8727.49
281018;78.24;3597.80;1265.68;3185.26;46.911;51.024;8787.82
291018;77.34;3624.50;1263.70;3185.26;47.000;51.000;8821.20
301018;75.91;3638.50;1261.50;3188.69;47.141;50.964;8806.10
311018;75.47;3641.50;1250.80;3202.44;47.317;50.922;8893.50
11118;72.89;3644.00;1274.80;3219.85;47.509;50.887;8954.80
21118;72.83;3628.00;1269.90;3193.80;47.694;50.867;8993.00
31118;73.50;3628.00;1266.04;3177.57;47.851;50.872;9028.85
41118;73.73;3655.90;1268.99;3177.57;47.961;50.913;9043.57
51118;73.17;3630.00;1269.00;3177.57;48.000;51.000;9010.70
61118;72.13;3596.50;1263.00;3177.57;47.956;51.138;8988.90
71118;72.07;3575.00;1265.40;3154.55;47.842;51.311;9167.90
81118;70.65;3583.00;1262.00;3140.25;47.682;51.500;9177.00
91118;70.18;3605.00;1245.00;3145.39;47.495;51.683;9134.80
101118;71.40;3605.00;1237.54;3176.89;47.305;51.841;9083.49
111118;72.24;3579.90;1238.80;3176.89;47.133;51.954;9050.28
121118;70.12;3565.50;1239.60;3176.89;47.000;52.000;9076.30
131118;65.47;3600.00;1237.50;3176.89;46.923;51.967;9145.40
141118;66.12;3624.00;1246.20;3197.20;46.894;51.866;9106.60
151118;66.62;3613.50;1251.70;3194.70;46.899;51.716;9073.50
161118;66.76;3618.00;1259.00;3198.29;46.926;51.536;9056.80
171118;68.02;3618.00;1265.06;3173.59;46.961;51.344;9081.88
181118;68.82;3614.20;1266.64;3173.59;46.990;51.159;9092.57
191118;66.79;3637.50;1261.60;3173.59;47.000;51.000;9006.30
201118;62.53;3636.00;1257.50;3178.81;46.982;50.882;8866.50
211118;63.48;3635.00;1264.70;3189.51;46.947;50.806;8960.60
221118;62.60;3640.50;1228.00;3196.26;46.907;50.771;8906.20
231118;58.80;3661.00;1260.00;3196.26;46.878;50.775;8916.70
241118;57.71;3661.00;1281.86;3223.95;46.875;50.816;8984.40
251118;59.01;3619.20;1276.27;3223.95;46.910;50.891;9054.63
261118;60.48;3675.50;1259.70;3223.95;47.000;51.000;9091.20
271118;60.21;3684.00;1250.40;3240.65;47.151;51.138;9085.60
281118;58.76;3718.00;1260.20;3250.56;47.343;51.297;9102.70
291118;59.51;3690.50;1260.80;3274.47;47.551;51.464;9098.90
301118;58.71;3660.00;1256.50;3240.02;47.747;51.630;9077.20
11218;58.97;3660.00;1256.63;3235.27;47.905;51.781;9130.69
21218;60.37;3683.20;1261.68;3235.27;47.998;51.909;9199.90
31218;61.69;3621.00;1270.20;3235.27;48.000;52.000;9179.60
41218;62.08;3603.50;1277.40;3196.15;47.895;52.048;9061.70
51218;61.56;3584.50;1273.40;3174.11;47.712;52.061;9012.20
61218;60.06;3624.50;1274.30;3162.29;47.490;52.050;8764.50
71218;61.67;3582.50;1283.60;3187.86;47.269;52.027;8815.50
81218;61.96;3582.50;1287.15;3153.29;47.087;52.003;8809.18
91218;60.82;3625.90;1284.55;3153.29;46.984;51.990;8713.13
101218;59.97;3624.00;1280.00;3153.29;47.000;52.000;8660.00
111218;60.20;3606.00;1278.10;3176.12;47.160;52.042;8735.50
121218;60.15;3603.00;1281.00;3184.70;47.435;52.117;8853.40
131218;61.45;3613.50;1278.40;3169.36;47.780;52.227;8926.30
141218;60.28;3613.50;1272.20;3178.40;48.153;52.370;8886.10
151218;60.42;3613.50;1272.38;3196.30;48.509;52.547;8879.10
161218;61.09;3588.10;1277.46;3196.30;48.806;52.757;8882.39
171218;59.61;3608.50;1282.60;3196.30;49.000;53.000;8812.50
181218;56.26;3643.00;1284.00;3188.66;49.059;53.272;8700.80
191218;57.24;3662.00;1286.80;3198.45;49.001;53.548;8769.10
